"","Location","PopTotal"
"232917","Southern African Development Community (SADC)",353940129
"233068","Southern Asia",1918211396
"233952","Southern Common Market (MERCOSUR)",306365495
"234103","Southern Europe",152446950
"234987","Spain",46736782
"235871","Sri Lanka",21323734
"236755","State of Palestine",4981422
"237639","Sub-Saharan Africa",1066283411
"238523","Sudan",42813237
"239407","Suriname",581363
"240291","Sweden",10036391
"241175","Switzerland",8591361
"242059","Syrian Arab Republic",17070132
"242943","Tajikistan",9321023
"243827","Thailand",69625581
"244711","Timor-Leste",1293120
"245595","Togo",8082359
"246479","Tokelau",1330
"247363","Tonga",104497
"248247","Trinidad and Tobago",1394969
"249131","Tunisia",11694721
"250015","Turkey",83429607
"250899","Turkmenistan",5942094
"251783","Turks and Caicos Islands",38194
"252667","Tuvalu",11655
"253551","UN-ECE: member countries",1296680593
"253702","UNFPA Regions",6358800278
"253853","UNFPA: Arab States (AS)",370070433
"254004","UNFPA: Asia and the Pacific (AP)",4047949107
"254155","UNFPA: East and Southern Africa (ESA)",601481415
"254306","UNFPA: Eastern Europe and Central Asia (EECA)",248170834
"254457","UNFPA: Latin America and the Caribbean (LAC)",644001843
"254608","UNFPA: West and Central Africa (WCA)",447126646
"254759","UNICEF PROGRAMME REGIONS",6440543873
"254910","UNICEF Programme Regions: East Asia and Pacific (EAPRO)",2129737711
"255061","UNICEF Programme Regions: Eastern Caribbean",2397227
"255212","UNICEF Programme Regions: Eastern and Southern Africa (ESARO)",528864083
"255363","UNICEF Programme Regions: Europe and Central Asia (CEECIS)",279293796
"255514","UNICEF Programme Regions: Latin America",640775552
"255665","UNICEF Programme Regions: Latin America and Caribbean (LACRO)",643172779
"255816","UNICEF Programme Regions: Middle East and North Africa (MENARO)",490260787
"255967","UNICEF Programme Regions: South Asia (ROSA)",1835297503
"256118","UNICEF Programme Regions: West and Central Africa (WCARO)",533917214
"256269","UNICEF REGIONS",7713468205
"256420","UNICEF Regions: East Asia and Pacific",2376751014
"256571","UNICEF Regions: Eastern Europe and Central Asia",425166056
"256722","UNICEF Regions: Eastern and Southern Africa",575173373
"256873","UNICEF Regions: Europe and Central Asia",922025316
"257024","UNICEF Regions: Latin America and Caribbean",648120956
"257175","UNICEF Regions: Middle East and North Africa",455575824
"257326","UNICEF Regions: North America",366600944
